area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Multimedia / HCI / graphics,TMM,journal,2012,209,152,0.7273,209
NLP / language,ACL,conference,2012,187,0,0.0,0
NLP / language,EMNLP,conference,2012,139,0,0.0,0
NLP / language,NAACL,conference,2012,97,0,0.0,0
Robotics / embodied AI,ICRA,conference,2012,836,0,0.0,836
Robotics / embodied AI,IROS,conference,2012,854,0,0.0,854
Robotics / embodied AI,RSS,conference,2012,60,0,0.0,60
Computer vision,CVPR,conference,2013,471,471,1.0,0
Computer vision,ICCV,conference,2013,454,454,1.0,0
Computer vision,IJCV,journal,2013,91,5,0.0549,91
Computer vision,TIP,journal,2013,482,351,0.7282,482
Computer vision,TPAMI,journal,2013,233,190,0.8155,231
Data / IR / Web / DB,ICDE,conference,2013,142,0,0.0,142
Data / IR / Web / DB,KDD,conference,2013,59,0,0.0,59
Data / IR / Web / DB,SIGIR,conference,2013,158,0,0.0,158
Data / IR / Web / DB,SIGMOD,conference,2013,98,0,0.0,98
Data / IR / Web / DB,TKDE,journal,2013,186,164,0.8817,186
Data / IR / Web / DB,WWW,conference,2013,137,0,0.0,137
General AI,AAAI,conference,2013,204,184,0.902,204
General AI,IJCAI,conference,2013,462,0,0.0,0
ML / learning,ICLR,conference,2013,67,67,1.0,0
ML / learning,ICML,conference,2013,283,283,1.0,0
ML / learning,JMLR,journal,2013,69,69,1.0,60
ML / learning,NeurIPS,conference,2013,360,78,0.2167,0
Medical AI,MICCAI,conference,2013,95,0,0.0,95
Multimedia / HCI / graphics,ACMMM,conference,2013,139,0,0.0,139
Multimedia / HCI / graphics,CHI,conference,2013,392,0,0.0,392
Multimedia / HCI / graphics,TMM,journal,2013,205,165,0.8049,205
NLP / language,ACL,conference,2013,328,0,0.0,0
NLP / language,EMNLP,conference,2013,13,0,0.0,0
NLP / language,NAACL,conference,2013,140,0,0.0,0
